Sox5
Sox6
Sox9
Col2a1
Acan
Pth1r
Ihh
Col10a1
Vegfa
Mmp13
Cnp
Egf
Tgfa
Tnfsf11
Fgfr1
Fgfr2
Fgfr3
Npr2
Npr3
Egfr
Runx2
Mef2c
Mef2d
Foxa2
Zfp521
Mmp9
Spp1
Hdac4
Sik3
Nkx3-2
Col11a2
Mia
Col9a1
Raf1
Mapk1
Mapk3
Scx
Tgfbr2
Smad2
Smad3
Bmpr1a
Bmpr1b
Smad1
Smad5
Smad8
Bmp2
Bmp4
Map3k20
Hapln1
Matn4
Foxc1
Foxc2
Fam20b
Xylt1
Ctsb
Chadl
Chad
Matn3
Matn1
Gdf5
Fgf8
Shox2
Zfhx4
Papss2
Prg4
Sdc4
Cspg4
Dpt
Col9a2
Epyc
Fmod
Sdc2
Comp
Slc26a2
Chsy1
Chpf
Csgalnact1
Chst3
Chst11
Chst14
Chst15
