Sample ID,Genotype
10-29_A_S2,WT
10-29_B_S16,WT
10-37_A_S11,Mut
10-37_B_S4,Mut
10-39_A_S10,Mut
10-39_B_S7,Mut
10-3_A_S12,WT
10-3_B_S5,WT
96-13_A_S8,WT
96-13_B_S14,WT
96-14_A_S18,WT
96-14_B_S19,WT
96-15_A_S3,Mut
96-15_B_S15,Mut
96-19_A_S13,WT
96-19_B_S6,WT
96-20_A_S9,Mut
96-20_B_S17,Mut
96-21_A_S1,Mut
